"SampleID","ZO9UWDL","ZN9TKCJ","ZYLJ7R7","ZY1ZKJY","ZXSDNAK","ZUHT69X","ZTXY83G","ZTXWLP3","ZTUO1AO","ZTTL3YH","ZS78KHV","ZRLZ98T","ZRA5YD8","ZLPZS0H","ZK01UI6"
"IGLL5",2.106123,-0.1178687,2.460493,-1.266045,0.8526084,3.116385,2.838937,3.474246,2.312784,2.027925,2.671192,2.873173,5.538281,3.19192,2.501503
"MASP2",-4.86404,-5.449145,-3.213875,-6.170074,-5.274035,-6.571165,-3.296229,-3.85365,-2.989617,-2.605916,-3.993319,-2.426415,-3.295949,-3.920928,-3.849671
"APOL1",1.609188,1.883933,1.952032,1.870945,2.254308,2.534201,2.310943,2.131839,2.802279,2.41446,1.648098,1.548319,1.937049,2.229871,2.265335
"CEP290",-4.456313,-4.153729,-6.580078,-4.602556,-4.290545,-3.691408,-6.726448,-1.066003,-3.37313,-3.763137,-5.809337,-5.92401,-4.627591,-4.792542,-3.415402
"CD5L",-1.210455,0.3699698,1.443096,-0.4729839,-0.5180113,-0.272747,-2.10989,-1.740242,-1.330604,-1.268376,-0.7069975,-0.6951526,-0.7185391,-0.3652608,-1.508603
"FCN3",1.359917,1.157082,0.6222063,-1.391786,-0.9096327,-0.5010409,0.8942522,0.4830267,-0.1114512,0.5489763,0.5280589,0.4640203,0.1275324,0.3528155,0.7507554
"ATRN",-0.7102227,-1.575862,-1.095176,-2.335177,-1.230291,-1.610868,-1.28493,-1.318609,-1.381881,-1.451048,-2.196047,-1.62249,-1.514686,-1.226963,-1.286127
"ATRN.1",-1.64017,-1.849989,-1.538254,-2.716195,-1.340892,-2.594834,-1.631482,-1.96153,-2.276446,-2.063414,-2.510081,-2.062155,-1.5011,-1.879683,-1.881477
"APOM",2.331928,2.263513,1.54777,2.400571,2.624354,2.004176,2.032021,2.498947,2.065125,2.232698,2.523674,2.38486,2.40628,1.828959,1.834048
"CP",4.983588,6.11838,5.369892,6.031056,6.257414,5.685477,5.891125,5.46313,6.875848,5.679604,6.042838,5.65167,6.101419,5.31424,5.387031
"F13A1",-1.395058,0.8559178,-0.563237,1.227012,-1.351064,-0.771291,-0.01216191,-0.6554399,-0.8116173,0.2405004,-0.1397021,1.293048,0.4732199,-0.4872183,-0.2117218
"F2",4.723259,5.352387,4.58919,5.371543,5.285687,4.468923,4.557397,4.719969,4.850421,4.881338,4.915228,4.950042,5.117528,4.466712,4.533612
"C1R",2.376224,2.460341,1.892788,2.741542,2.608039,1.959891,1.900617,1.630696,2.080626,2.071995,1.898189,1.691526,2.858814,1.681337,2.289444
"HP",7.160201,6.911551,5.918024,7.48417,7.005969,7.521183,7.733409,6.682961,7.135737,8.101018,6.617501,6.902069,6.068647,6.764575,6.766999
"HPR",0.7697398,1.684184,0.8660519,2.911143,1.981924,2.399014,1.009343,0.9587432,1.214155,1.670274,1.549719,1.101909,1.185903,1.216623,1.379058
"F9",0.9903119,-2.915714,-0.7515404,-4.353362,-3.011876,-2.295091,-0.7819726,-1.462913,-1.228113,-0.8680879,-0.6336987,-1.529935,0.3368869,-1.15208,-1.384724
"F10",0.7424552,1.042533,0.7107784,0.9239907,1.04099,0.4103284,0.0523957,-0.1815384,0.5626802,0.3697882,-0.4333423,-0.06964964,0.1727359,0.2465146,-0.1642633
"CFD",-4.344052,-4.354198,-6.603412,-2.758498,-3.573953,-6.037529,-4.46171,-2.638762,-3.945713,-4.137732,-2.834148,-5.450104,-3.498249,-1.972252,-3.485669
"PLG",4.648112,5.182888,4.457613,5.304529,5.319164,4.704239,4.611231,4.624438,4.792861,4.870497,4.958897,4.95785,5.204487,4.380156,4.684549
"F12",2.579617,1.805912,1.322489,2.762553,0.4742148,1.431388,2.002584,-0.3135668,1.5675,0.3421485,2.194726,2.402094,1.314328,0.4455602,1.731316
"CFB",4.141079,5.336602,4.632756,5.300136,5.120144,4.591289,5.009373,4.207521,5.068013,5.135234,4.90957,4.882136,5.359523,4.645118,4.505151
"CA1",-2.594501,-2.779602,-2.153659,-2.630689,-4.387033,-2.545714,-1.343451,-2.908167,-5.35246,-2.891945,-1.510965,0.009087563,-2.683145,-1.804155,-2.352908
"ASS1",-2.559022,-1.678424,-5.699645,-2.824759,-0.6269994,-5.298557,-4.419807,-4.278032,-5.324762,-4.315809,-1.637002,-1.000841,-3.219172,-4.464945,-5.06442
"SERPINC1",4.581288,5.30093,4.8873,5.074488,5.302843,4.770288,5.162691,4.986731,4.831997,4.844585,4.956462,4.818471,5.037848,4.53269,5.012977
"SERPINA1",7.842161,8.413919,7.359787,8.46991,8.556204,7.350014,8.070472,7.118582,8.342935,7.716568,7.517289,7.521841,8.073232,7.270035,7.330874
"SERPINA3",5.058685,4.796933,4.378985,5.393914,5.114554,4.871255,5.738406,5.081662,5.025659,5.256056,5.311027,4.72232,4.727055,4.519305,4.87365
"AGT",2.668426,3.428959,3.055148,4.139373,3.885784,3.183908,3.266071,3.217274,5.361248,3.685058,3.12429,3.770245,3.300097,2.816338,3.82585
"A2M",7.746465,8.622086,8.421345,8.139663,8.029286,8.226535,7.645243,7.574399,7.885978,7.451174,7.680668,8.543824,8.483689,7.855041,7.572549
"C3",7.986448,8.839509,8.067362,8.970229,9.154288,8.601689,8.810078,8.158834,8.556733,8.681281,8.316318,8.286983,8.610868,8.261267,8.222307
"C5",3.465234,4.019554,3.245278,3.651967,3.198439,3.5871,3.834178,3.473115,3.706796,3.873795,3.677188,3.247329,3.457534,3.244376,3.32798
"CST3",-4.90315,-1.492275,-3.086709,-0.8833723,-2.498254,-3.482672,-2.470129,-2.706721,-3.027936,-2.239777,-1.684545,-2.705401,-5.748096,-2.72716,-2.29577
"KNG1",2.627128,3.909178,3.113936,3.371995,2.550521,3.276624,3.146845,2.906347,3.754371,2.991196,3.158118,3.231194,2.17529,2.749531,3.180368
"KNG1_2",-4.040771,-4.683222,-4.289518,-4.171539,-3.245798,-4.517886,-3.996203,-4.657711,-3.984071,-4.51944,-5.316214,-6.276655,-4.777477,-4.885496,-4.412827
"IGF2",-3.25236,-3.936574,-2.748748,-2.902259,-3.222696,-3.541739,-3.761541,-3.224954,-3.027949,-3.124752,-2.862568,-3.251607,-3.054364,-3.368701,-3.039473
"IGJ",3.105143,3.91644,4.269989,3.585074,3.813485,3.387325,2.364739,2.142849,1.774751,2.779932,2.03651,3.348883,3.547794,3.839621,1.922403
"KVD33",-2.027766,-2.247672,-5.176497,-2.020573,-1.596171,-2.20851,-2.616971,-2.24824,-3.065729,-3.186417,-2.479219,-4.286645,-3.34323,-1.041524,-2.659696
"KV133",-2.266151,-3.91223,-2.260698,-5.445715,-4.326536,-3.024832,-3.300585,-3.098478,-3.336723,-2.689224,-3.221373,-2.440289,-2.327535,-3.021974,-3.249001
"KVD16",-1.796175,-3.190278,-1.079595,-3.150601,-1.908348,-1.273595,-1.318869,-1.968088,-2.21093,-2.260478,-0.9334474,-1.338991,-1.403171,-1.222278,-1.476811
"KVD33_2",-2.429074,-1.924661,-1.961023,-2.509523,-2.132781,-1.988589,-2.40897,-1.797195,-2.304801,-2.562263,-0.4385488,-2.299722,-1.142012,-1.175857,-2.494316
"KVD33_3",-5.262748,-4.464627,-2.21491,-5.808963,-3.110436,-2.8084,-3.801472,-3.198126,-3.704483,-3.358673,-3.87793,-3.285085,-4.631205,-2.952076,-2.985291
"KV139",-3.300231,-3.693056,-3.789348,-5.519413,-4.165572,-4.433175,-4.047796,-4.327166,-4.940291,-3.976013,-4.78364,-3.553535,-5.121022,-2.16492,-4.698192
"KVD33_4",0.2303866,-1.207108,-0.1875088,0.02191508,-0.1279842,-0.1226509,-0.3705552,-0.002972722,-0.7780286,-0.4923642,-1.807139,-2.71456,-2.943666,0.8486861,-0.5146745
"KVD28",-4.252756,-4.63255,-4.623652,-4.311829,-5.787331,-5.308536,-3.338822,-4.769704,-4.97353,-4.119375,-4.018386,-4.391438,-4.604486,-4.047793,-4.209037
"KV320",-3.635706,-5.479552,-4.740297,-4.415367,-3.007458,-3.165308,-3.128422,-3.133901,-3.904316,-3.500222,-2.517939,-3.527853,-4.532941,-3.273695,-3.548522
"KV320_2",0.4623304,1.221572,0.8978652,0.9242007,1.120022,1.554327,0.705703,1.123543,0.9736975,0.6620971,1.791879,0.5774139,0.7969763,2.26393,0.6727403
"LV144",-0.67064,-0.2839032,-1.651941,-1.746822,-1.735306,-1.067853,-1.618482,-1.783488,-1.721874,-1.885164,-1.087005,-3.145299,-1.733001,-1.180784,-1.635563
"LV147",-0.07980251,0.460228,-0.3835175,0.105019,0.4151937,0.0136489,-0.8716989,0.3973007,-0.3221976,-0.6838695,0.5520288,-0.6300049,-0.1556426,0.1288176,-0.7831262
"LV140",-3.429576,-2.8879,-6.396163,-3.245543,-2.97361,-3.190231,-3.223326,-3.060419,-3.342979,-3.304472,-3.239501,-3.841065,-3.423248,-3.461992,-3.335641
"LV211",-5.498493,-5.837701,-3.959204,-5.535863,-5.862042,-4.414242,-6.799833,-5.200798,-2.78663,-5.251432,-3.931789,-6.769734,-2.834913,-2.247535,-2.696793
"LV319",1.357435,1.966001,1.390512,0.6122509,1.323104,1.245353,-0.2554396,0.8362701,0.4499783,0.9006625,0.9216875,1.262605,1.407045,0.7388694,0.9257045
"LV325",2.514128,2.361146,1.949565,2.538387,3.189333,1.819182,1.07343,2.254504,1.972263,1.07704,2.384832,2.366531,2.95374,2.488034,1.945218
"LV321",-6.328555,-2.990283,-3.428655,-0.3906376,-2.579987,-0.3330853,-0.3768882,-3.414219,-1.241096,-0.1392109,-0.3555557,-4.51291,-4.000173,-0.4450023,-1.515128
"HV169",-3.662802,-3.022836,-4.294038,-6.559764,-3.046386,-2.185143,-3.537072,-1.610676,-4.679882,-1.171359,-3.567265,-5.733894,-4.030498,-2.058872,-3.540155
"HV146",-3.553994,-3.398221,-2.298114,-2.831813,-3.250465,-2.859066,-3.38782,-2.88683,-3.102864,-2.73654,-4.94075,-3.663325,-4.03045,-2.36326,-2.439282
