"SampleID","ZOQM06Q","ZIS22OE","ZOBX723","ZO94RDZ","ZO5QFNX","ZO3XSJN","ZNQOVZV","ZNDMXI3","ZN9YTFN","ZN3TBJM","ZN0JE53","ZMGT937","ZMBVNFM","ZM8YXDM","ZLZNCLZ"
"IGLL5",1.824581,1.888309,3.050639,3.331428,2.431018,2.92506,2.625042,2.752113,1.939018,2.894938,0.6353452,3.617153,0.5280352,2.099798,2.556611
"MASP2",-3.044548,-3.359115,-3.72714,-3.649854,-2.237261,-3.847154,-4.357158,-3.19604,-3.772359,-7.159449,-4.984901,-3.526542,-5.803018,-3.984103,-1.773255
"APOL1",2.537921,2.444,2.718752,0.8173218,1.902125,0.3350672,1.645998,1.756801,1.833,1.24111,2.06427,1.718547,2.027716,1.544988,1.535645
"CEP290",-4.258161,-4.523503,-3.748177,-3.74828,-6.5128,-7.347,-2.782367,-3.61882,-3.15309,-5.038869,-4.014059,-4.494244,-4.09651,-2.530482,-3.78325
"CD5L",-1.369417,-0.9464415,-1.511222,-2.038266,0.5672207,2.183149,-0.6294571,2.384629,-1.975764,-1.311164,0.1260903,-0.2330515,0.2175463,2.647004,0.01249385
"FCN3",-1.324533,0.5830652,0.09456497,0.09858465,0.436159,1.003995,0.3459895,0.1538316,-0.2093726,-0.1360967,0.03701332,-0.03406146,0.88968,0.7336402,0.417956
"ATRN",-1.161494,-1.587362,-2.15942,-1.612158,-0.9120933,-0.1591951,-1.580813,-1.231442,-1.251498,-1.629246,-1.149098,-1.519957,-2.210221,-1.042753,-1.523307
"ATRN.1",-1.653293,-5.767766,-1.473575,-1.543654,-1.242362,0.4511954,-1.622805,-0.6304601,-1.345612,-1.70636,-1.611881,-1.540312,-2.321046,-0.4499986,-1.361742
"APOM",2.021433,2.267617,2.83499,1.233874,1.300079,1.861509,1.810278,1.807735,1.953767,1.741262,2.141062,1.501622,2.192918,1.983371,1.783853
"CP",6.215743,5.66537,4.415855,5.629255,5.495127,5.587758,5.836172,5.807051,5.606373,5.688008,5.642721,5.305787,5.534888,5.737454,5.293668
"F13A1",0.05269141,0.7396514,-0.1300111,0.3096176,0.3576816,0.2477618,-0.02288418,-0.7400055,0.04329726,0.227147,0.56545,-0.3539312,0.05416277,0.2007559,-0.358041
"F2",4.590666,4.463136,5.720816,4.154083,4.339312,5.274742,4.419713,5.065166,4.590145,4.491878,4.795842,4.599776,4.826749,5.10522,4.776868
"C1R",1.959977,2.274343,1.770824,1.649445,1.931328,3.096686,1.88607,2.942944,1.90886,1.817578,2.337359,1.777117,1.509432,2.329224,2.004261
