SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
A1BG,3.6285144,3.071872,3.465953,4.834124,3.678837,4.3996419,4.476882,4.142393,4.2090295,4.698481,3.949473,4.3665208,3.449429,3.9473431,4.3410018
A1BG-AS1,3.6285144,2.233985,3.176302,2.020863,2.199553,1.6933637,2.659224,1.917098,1.9692927,3.852253,3.742561,3.1982217,1.7995015,1.3326127,2.7789693
A1CF,4.2983383,1.794746,3.006278,2.020863,1.344838,1.6933637,2.659224,1.917098,2.772207,0,3.742561,2.5624158,1.7995015,0,1.812695
A2M,9.9794028,10.688824,9.607076,9.954019,9.128027,9.8087608,10.406011,10.116684,10.3873004,9.123877,10.876067,9.3631111,9.9988326,8.9231141,9.2366776
A2M-AS1,3.0544764,0,2.327669,1.338643,0,0,0,0,0.9796013,0,0,0,0,0,1.4197112
A2ML1,5.0652003,0,1.003591,2.831174,1.344838,2.4510653,2.934736,2.368751,0,0,0,2.5624158,1.4081681,0.8149948,0
A2MP1,6.2576617,7.172263,6.051458,6.156641,5.322424,6.3605794,6.672732,6.843502,6.9134424,5.55731,7.463167,6.0713327,6.0516545,5.3119348,5.1087916
AAED1,1.7807101,1.160128,2.590942,2.020863,2.490583,3.0784383,2.659224,2.989423,3.5473417,0,1.615506,0.8622146,0.8694765,2.0133434,0.8778696
AAGAB,4.1740602,2.233985,1.589748,1.338643,2.199553,0.8029786,3.365221,2.989423,2.772207,1.546148,2.846508,2.9150644,3.5547113,2.473982,2.7789693
AAK1,5.0997728,3.598479,3.176302,2.020863,1.610395,2.2398556,2.934736,1.255992,2.2891502,2.757256,2.846508,1.3981606,1.7995015,0,2.3752615
AAMDC,3.7202524,1.794746,3.006278,4.026032,2.028581,3.6053157,4.785794,4.142393,4.484283,3.852253,4.435756,3.0635788,2.7631988,1.7127611,2.5911907
AAMP,3.8065041,2.84275,2.327669,2.482176,1.610395,1.9923327,4.083281,2.989423,2.2891502,0,2.358504,2.9150644,1.7995015,1.7127611,3.5716254
AANAT,4.4667307,1.794746,3.913586,3.726075,3.033289,2.798589,5.152185,3.221858,4.1311487,4.897505,2.846508,3.4348176,4.6898579,2.9696804,3.7618061
AARS,2.3391148,1.794746,1.003591,0,0,0,0,1.917098,1.9692927,0,0,0,2.360364,1.7127611,1.4197112
AASDH,2.3391148,0,1.003591,0,0.597735,0.8029786,1.219855,1.255992,0,0,0,0,0,0,0
AATF,2.7406878,0,2.005383,1.338643,0,0.8029786,1.219855,1.255992,0.9796013,0,0,0.8622146,0.8694765,2.2619698,0.8778696
AATK,4.4667307,1.160128,2.327669,1.338643,1.344838,0.8029786,2.318374,1.917098,1.5576996,2.275224,0,0.8622146,1.4081681,0,0
ABAT,3.3120589,1.160128,1.589748,0,0,0,0,1.255992,1.5576996,0,1.615506,0,0.8694765,1.3326127,0
ABCA1,4.51876,2.233985,2.590942,2.831174,1.344838,1.9923327,2.659224,3.754333,1.9692927,1.546148,0,1.7880508,2.7631988,2.0133434,3.0940566
ABCA12,4.4127547,0,3.176302,2.831174,2.028581,1.3157975,0,2.989423,1.9692927,1.546148,1.615506,1.7880508,0.8694765,0,2.1212273
ABCA17P,3.8878889,0,2.005383,0,0,0,1.219855,0,1.5576996,1.546148,0,1.3981606,0.8694765,0,1.812695
ABCA2,5.1335362,3.598479,1.003591,0,0,0,1.871239,0,0,0,0,0,0.8694765,0,0
ABCA3,4.4127547,1.794746,1.589748,2.831174,1.019117,1.6933637,2.318374,1.255992,0.9796013,1.546148,1.615506,2.0946774,1.7995015,0.8149948,0.8778696
ABCA4,3.9649267,0,2.813505,0,0,1.3157975,1.219855,0,0.9796013,0,1.615506,1.7880508,0.8694765,0,0.8778696
ABCA7,4.9934659,2.570242,2.590942,0,0,0.8029786,1.871239,1.255992,2.2891502,3.646414,2.846508,1.7880508,0.8694765,0,0.8778696
ABCB4,3.6285144,1.794746,2.327669,2.482176,1.610395,1.6933637,2.318374,3.59771,1.9692927,1.546148,3.500924,2.9150644,2.7631988,1.7127611,2.5911907
ABCB6,3.6285144,1.160128,1.589748,2.482176,1.610395,1.3157975,2.318374,1.917098,0.9796013,2.275224,1.615506,0,2.360364,1.7127611,1.4197112
ABCB8,3.8065041,1.160128,1.589748,2.020863,1.610395,0.8029786,1.871239,1.917098,2.2891502,1.546148,0,0.8622146,0.8694765,2.0133434,0
ABCC1,4.3566805,1.160128,1.589748,0,1.019117,0.8029786,2.318374,1.917098,0,0,0,1.7880508,0.8694765,0.8149948,0
ABCC10,4.2983383,0,2.005383,0,0,1.6933637,0,0,0,2.275224,0,0,0.8694765,0.8149948,0
ABCC3,3.9649267,5.048937,1.003591,3.111976,2.028581,1.6933637,2.934736,1.255992,1.9692927,3.852253,3.210508,2.7494884,2.5757961,2.473982,1.4197112
ABCC4,3.8065041,1.160128,2.005383,0,0,0.8029786,0,1.917098,0.9796013,1.546148,2.358504,0,0.8694765,1.3326127,1.4197112
ABCC5-AS1,2.7406878,1.794746,0,0,0,0.8029786,0,1.255992,2.2891502,0,1.615506,0.8622146,1.4081681,0,1.4197112
ABCC6,5.1335362,3.443365,2.813505,4.026032,2.616684,1.9923327,4.192196,3.59771,3.1334588,3.646414,3.742561,4.0477744,3.5547113,2.8225945,3.5716254
ABCD1,3.5305445,1.160128,1.003591,0,0,0,1.871239,0,0,0,2.358504,0,0,0,1.4197112
ABCE1,4.4127547,3.598479,4.399149,4.383961,4.165122,3.6909973,3.837169,4.620663,4.4202349,3.646414,4.90201,4.9662267,4.0628985,4.3744545,4.2801036
ABCF1,3.8065041,2.84275,1.589748,2.020863,1.019117,2.2398556,3.165976,1.255992,2.5508026,0,1.615506,2.7494884,0,1.3326127,0.8778696
ABCF2,3.0544764,1.160128,1.003591,0,0,0.8029786,0,1.255992,0,0,0,1.3981606,0.8694765,0.8149948,0
ABCG1,3.6285144,1.160128,0,2.831174,1.019117,0,1.219855,1.917098,0.9796013,0,0,0,0,0,0.8778696
ABHD1,4.5689779,3.983429,4.913825,4.274231,5.206866,4.9442954,4.853691,5.100957,5.2079339,3.852253,4.998325,5.2403982,4.9435459,5.6321134,5.7261474
ABHD11,3.0544764,1.160128,0,2.831174,0.597735,0.8029786,1.871239,1.255992,0,1.546148,1.615506,0.8622146,1.4081681,0,1.4197112
ABHD12,3.0544764,2.84275,1.003591,2.482176,1.610395,1.6933637,2.934736,1.255992,3.1334588,3.40624,2.846508,1.3981606,2.360364,2.0133434,2.5911907
ABHD12B,3.7202524,1.160128,2.327669,1.338643,3.033289,1.9923327,3.165976,3.895606,2.5508026,3.117937,3.210508,3.4348176,2.7631988,3.5397899,3.0940566
ABHD15,5.1335362,4.286998,4.1767,4.909462,4.123239,3.9211784,5.097224,4.447889,4.5456081,5.55731,4.998325,2.7494884,4.2625831,4.0166601,4.0070048
ABHD16A,4.6644558,2.84275,1.589748,2.020863,1.834587,2.2398556,2.659224,0,0.9796013,2.275224,1.615506,1.7880508,0.8694765,2.0133434,1.812695
ABHD16B,5.1335362,5.383618,4.913825,6.125382,5.512874,5.536882,6.311516,6.273463,6.281359,7.457406,5.470798,5.4438382,5.5891339,5.5172196,6.2233078
ABHD17A,2.5538286,3.269543,2.005383,1.338643,1.344838,0,0,0,1.9692927,0,0,0.8622146,0.8694765,0.8149948,0.8778696
ABHD2,5.8335709,6.98808,7.390834,6.411126,6.505165,6.6119239,5.988092,7.038934,7.0466793,4.467541,6.964069,7.1463516,6.1557286,7.681235,7.3457896
ABHD8,3.0544764,1.160128,2.327669,2.482176,2.028581,0,2.318374,2.712211,1.9692927,3.646414,3.742561,2.9150644,1.4081681,1.3326127,1.4197112
ABI1,4.237537,3.738522,3.814016,1.338643,3.281959,2.6352661,1.219855,2.989423,3.2850001,0,3.210508,3.8161108,2.5757961,4.0166601,3.7618061
ABI2,3.7202524,2.570242,3.006278,2.482176,1.610395,1.6933637,2.659224,2.989423,2.5508026,2.275224,3.742561,3.6380243,2.7631988,2.0133434,2.7789693
ABI3,4.4667307,3.269543,3.591539,4.274231,3.203737,3.3127224,3.165976,4.536861,4.4202349,3.40624,3.500924,3.1982217,2.9290332,3.7978391,3.9298114
ABI3BP,4.8786981,3.866166,4.094214,3.548921,2.028581,2.6352661,3.540258,4.699864,3.4221258,1.546148,2.358504,3.97461,4.5440522,3.4423854,4.6120264
ABL1,4.4127547,2.233985,1.003591,0,0.597735,0,1.219855,1.255992,0,0,1.615506,0,0,0,0
ABL2,4.4127547,0,2.327669,0,0.597735,0,0,0,0,1.546148,0,0,0,1.7127611,2.5911907
ABLIM1,3.6285144,1.160128,2.327669,0,0.597735,0,0,0,0.9796013,0,1.615506,1.3981606,0.8694765,1.7127611,0.8778696
