SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
IL17F,178.9481204,180.3516351,299.8019008,346.0407123,117.4501745,257.6792816,135.6206745,76.28662943,172.91636,177.4370492,87.49943352,121.4604009,107.4764731,174.8520675,118.3953466
FASL,21.36987395,32.18672373,32.55658541,188.4692022,29.04351081,26.86732255,16.63215205,17.91154837,19.19094468,19.19094468,20.6783008,21.34534276,18.67717492,22.18789685,6.946717254
TGFA,14.60077488,19.71104609,31.85767333,87.62362858,17.46079738,33.42387921,18.99084046,16.71193961,16.71193961,37.98168092,14.82358773,16.25812848,11.47632599,16.14630204,8.454486062
MIP1A,44.08948869,57.1530409,54.5119139,245.1080404,38.4678442,34.74695324,29.78310278,30.40358409,40.95176632,26.68069624,29.49948147,39.55612288,28.15859595,38.80580432,24.06788644
SDF1A,167.1827966,215.0626798,255.3564135,534.6789951,232.876282,203.3441697,127.7896846,141.7812559,142.7140274,124.5249847,153.7714157,196.058555,156.174094,211.7401694,110.6799173
IL27,27.86114993,47.09861059,40.16392613,169.3127541,40.32759032,41.4402407,24.74044221,25.97746432,27.21448643,24.74044221,24.64849146,26.29172422,22.45751444,37.35880266,7.586014128
LIF,46.10441338,36.53557287,40.90913463,41.33869862,28.85011489,35.26074423,38.52562796,35.26074423,45.70837215,33.95479074,30.77052445,30.77052445,26.52631418,43.83623238,35.97645032
IL1B,21.53174366,21.08316566,25.4068012,34.89536932,20.19501325,24.99641871,21.79174964,20.50988202,23.07361727,19.22801439,26.64280338,26.64280338,26.64280338,23.70557082,22.36068618
IL2,29.35814215,39.63349191,33.5019115,31.17457608,22.90706289,30.79667687,34.64626148,25.66389739,25.66389739,28.87188457,27.30738634,31.28971351,25.03177081,29.40883411,27.72293978
IL4,42.65697494,50.82533184,65.98404428,123.9446658,54.78264221,46.0313879,30.68759193,32.39245815,40.91678924,38.64363428,35.94754292,46.05778937,39.31762507,44.81181199,28.32357081
IL5,58.24330199,59.08133512,54.66735542,80.82565536,57.26731074,35.47376981,42.12510166,32.14810389,36.58232512,41.01654635,38.7475368,35.70851431,29.63046932,31.40923001,34.31567525
IP10,100.0464295,126.4223064,115.4619972,390.6367836,151.0781625,65.14186498,282.5528394,89.57006435,61.88477173,43.97075886,36.8372718,99.3004718,72.07292308,124.1040514,44.13819128
IL6,28.54814271,47.92009669,52.10532328,251.9156987,41.53965168,42.35304118,37.05891103,36.000085,30.70595485,32.82360691,43.32721739,39.9066476,35.34588787,41.32924086,21.33202489
IL7,147.5687035,83.31206082,28.37226602,536.4073412,36.05733487,60.82315131,75.24513564,83.396692,73.99105005,85.27782039,43.17110433,106.8748071,29.4827054,83.21493424,105.9072858
IL8,32.84933805,37.74613378,81.17670809,395.082815,66.95655124,59.84801275,26.67139699,28.62296262,31.22505013,31.22505013,37.09322049,43.6875708,42.86327701,66.40384541,28.64343563
IL10,66.8219542,94.823535,92.97581812,133.8705082,86.10821929,90.62914427,65.01656002,74.86755396,65.01656002,76.34520305,71.8036353,68.40751742,73.7442741,83.84847627,52.97028113
