SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
phylum_Actinobacteria,0.001978519,0.005093561,0.003163379,0.024744819,0.002000828,0.004312592,0.027101681,0.006580551,0.003962264,0.000939775,0.005366884,0.011910301,0.000114992,0.011757576,0.002729134
phylum_Bacteroidetes,0.284129452,0.375154147,0.15128396,0.325858336,0.579619153,0.438936543,0.392654123,0.174750183,0.200566038,0.913461079,0.325972198,0.526379455,0.929969815,0.651818182,0.078962929
phylum_Firmicutes,0.636376484,0.560238057,0.812058057,0.585060315,0.334276252,0.503625421,0.399939952,0.745795759,0.785408805,0.06602316,0.635843745,0.404484973,0.049389104,0.303515152,0.752331135
phylum_Proteobacteria,0.018442623,0.015924079,0.002977298,0.004484998,0.021664137,0.01142126,0.024099279,0.001523276,0.001981132,0.018397286,0.024019004,0.001302689,0.020353601,0.024969697,0.164930635
phylum_Verrucomicrobia,0.000211984,0.010294354,0,0.004124137,0.006692424,0.010046917,0.080244195,0,0.007484277,0.001178701,0,0,0.000172488,0,0
phylum_unclassified_Bacteria,0.05843697,0.030561364,0.001302568,0.055572739,0.054160342,0.031467703,0.05642514,0.070801852,0,0,0.00879817,0.050060482,0,0.007939394,0.0000455
class_Actinobacteria,0.001978519,0.005093561,0.003163379,0.024744819,0.002000828,0.004312592,0.027101681,0.006580551,0.003962264,0.000939775,0.005366884,0.011910301,0.000114992,0.011757576,0.002729134
class_Bacilli,0,0.000268082,0.004465947,0.0000516,0.000069,0.000616085,0.00006,0.001553741,0.002327044,0.000175212,0.000439908,0.001395738,0.0000575,0.000242424,0.00450307
class_Bacteroidia,0.283988129,0.363358533,0.15128396,0.325858336,0.579481165,0.438889152,0.392373899,0.17456739,0.200566038,0.913461079,0.325972198,0.521447846,0.929797326,0.651757576,0.078962929
class_Betaproteobacteria,0.012648389,0.015334298,0.000186081,0.001391896,0.018007451,0.004123027,0.019835869,0.000548379,0.001603774,0.018349501,0.009062115,0.001116591,0.020152365,0.024545455,0.128906072
class_Clostridia,0.618711136,0.542598252,0.780052103,0.566707908,0.318821581,0.486517227,0.284267414,0.702717524,0.714874214,0.058632389,0.622294563,0.385502931,0.042432083,0.282060606,0.650989311
class_Deltaproteobacteria,0.000847937,0.000428931,0.000186081,0.003041551,0.003518697,0.007156059,0.003963171,0,0.000125786,0.0000319,0.000175963,0.000093,0.000172488,0.000424242,0
class_Erysipelotrichia,0.002119842,0.006380355,0.024190547,0.005722239,0.012004968,0.011326477,0.012029624,0.023732635,0.046163522,0.001672481,0.007038536,0.005210756,0.000517464,0.006787879,0.025926768
class_Gammaproteobacteria,0.001837196,0.000160849,0.002605136,0.0000516,0.000137988,0.000142173,0,0.000152328,0.000251572,0,0,0,0.0000287,0,0.036024562
class_Negativicutes,0.00459299,0.009919039,0.001488649,0.00484586,0.001586864,0.002606512,0.102301841,0.01453205,0.022044025,0.005097084,0.00413514,0.006606495,0.006324565,0.013939394,0.070911985
class_Verrucomicrobiae,0.0000707,0.010187121,0,0.004124137,0.004622602,0.009667788,0.080244195,0,0.007484277,0.001178701,0,0,0.000172488,0,0
class_unclassified_Bacteria,0.05843697,0.030561364,0.001302568,0.055572739,0.054160342,0.031467703,0.05642514,0.070801852,0,0,0.00879817,0.050060482,0,0.007939394,0.0000455
class_unclassified_Firmicutes,0.010952516,0.001072329,0.001860811,0.007732756,0.001793846,0.00255912,0.001281025,0.00325981,0,0.000445995,0.001935597,0.005769052,0.0000575,0.000484848,0
order_Bacteroidales,0.283988129,0.363358533,0.15128396,0.325858336,0.579481165,0.438889152,0.392373899,0.17456739,0.200566038,0.913461079,0.325972198,0.521447846,0.929797326,0.651757576,0.078962929
order_Burkholderiales,0.012436405,0.015334298,0.000186081,0.001391896,0.018007451,0.004123027,0.019835869,0.000548379,0.001603774,0.018349501,0.009062115,0.001116591,0.020152365,0.024545455,0.128815101
order_Clostridiales,0.618711136,0.542598252,0.780052103,0.566707908,0.318752587,0.486422444,0.284227382,0.702626127,0.714874214,0.058632389,0.622294563,0.382246208,0.042432083,0.282060606,0.650989311
order_Coriobacteriales,0.001978519,0.004932711,0.002605136,0.024641716,0.001931834,0.00421781,0.027101681,0.006580551,0.003867925,0.000923846,0.005366884,0.011910301,0.000114992,0.011636364,0.00245622
order_Desulfovibrionales,0.000847937,0.000428931,0.000186081,0.003041551,0.003518697,0.007108668,0.003963171,0,0.000125786,0.0000319,0.000175963,0.000093,0.000172488,0.000424242,0
order_Enterobacteriales,0.001837196,0.000107233,0.002605136,0.0000516,0,0.0000474,0,0.0000609,0.000251572,0,0,0,0.0000287,0,0.033295429
order_Erysipelotrichales,0.002119842,0.006380355,0.024190547,0.005722239,0.012004968,0.011326477,0.012029624,0.023732635,0.046163522,0.001672481,0.007038536,0.005210756,0.000517464,0.006787879,0.025926768
order_Lactobacillales,0,0.000268082,0.004465947,0.0000516,0,0.000616085,0.00006,0.001523276,0.002327044,0.000175212,0.000439908,0.001395738,0.0000575,0.000242424,0.003638845
order_Selenomonadales,0.00459299,0.009919039,0.001488649,0.00484586,0.001586864,0.002606512,0.102301841,0.01453205,0.022044025,0.005097084,0.00413514,0.006606495,0.006324565,0.013939394,0.070911985
order_Verrucomicrobiales,0.0000707,0.010187121,0,0.004124137,0.004622602,0.009667788,0.080244195,0,0.007484277,0.001178701,0,0,0.000172488,0,0
order_unclassified_Bacteria,0.05843697,0.030561364,0.001302568,0.055572739,0.054160342,0.031467703,0.05642514,0.070801852,0,0,0.00879817,0.050060482,0,0.007939394,0.0000455
order_unclassified_Firmicutes,0.010952516,0.001072329,0.001860811,0.007732756,0.001793846,0.00255912,0.001281025,0.00325981,0,0.000445995,0.001935597,0.005769052,0.0000575,0.000484848,0
family_Acidaminococcaceae,0.003109101,0.009919039,0.001488649,0.004742757,0.001586864,0.00255912,0.085548439,0.002193517,0,0.005017442,0.00413514,0.006606495,0.006037085,0.010727273,0.004230157
family_Bacteroidaceae,0.079564726,0.309045091,0.147934499,0.063666357,0.368152339,0.267001564,0.185408327,0.091091884,0.199025157,0.888469441,0.243357382,0.016097516,0.736265632,0.612424242,0.075415056
family_Clostridiaceae.1,0.000565291,0,0.002046892,0.018764821,0.000689941,0.001469125,0.00010008,0.001096758,0.0000314,0,0.000351927,0.003442821,0.0000287,0,0.078690016
family_Clostridiales_Incertae.Sedis.XIII,0.000565291,0.000375315,0,0.0000516,0.000620947,0.000284347,0.000520416,0.000913965,0.0000314,0.0000637,0.000175963,0.001860984,0.0000287,0,0
family_Coriobacteriaceae,0.001978519,0.004932711,0.002605136,0.024641716,0.001931834,0.00421781,0.027101681,0.006580551,0.003867925,0.000923846,0.005366884,0.011910301,0.000114992,0.011636364,0.00245622
family_Desulfovibrionaceae,0.000847937,0.000428931,0.000186081,0.003041551,0.003518697,0.007108668,0.003963171,0,0.000125786,0.0000319,0.000175963,0.000093,0.000172488,0.000424242,0
family_Enterobacteriaceae,0.001837196,0.000107233,0.002605136,0.0000516,0,0.0000474,0,0.0000609,0.000251572,0,0,0,0.0000287,0,0.033295429
family_Erysipelotrichaceae,0.002119842,0.006380355,0.024190547,0.005722239,0.012004968,0.011326477,0.012029624,0.023732635,0.046163522,0.001672481,0.007038536,0.005210756,0.000517464,0.006787879,0.025926768
family_Lachnospiraceae,0.214881289,0.27725055,0.506140677,0.239921641,0.189112736,0.272309369,0.129263411,0.299171338,0.596698113,0.028575524,0.252419497,0.066995441,0.027310622,0.121939394,0.37552877
family_Peptostreptococcaceae,0,0.000428931,0.097506513,0.068718425,0.001793846,0.001990427,0.001281025,0.000396052,0,0,0.00105578,0.004931609,0.0000862,0.000484848,0.188537639
family_Porphyromonadaceae,0.030243075,0.012814326,0,0.238735952,0.177038775,0.097341358,0.111889512,0.026169876,0,0.024163362,0.010557804,0.012282497,0.179445163,0.011757576,0.003411417
family_Prevotellaceae,0.076950254,0.000107233,0,0.015362408,0.011246033,0.040045495,0.046457166,0.012094809,0,0.000812348,0.060179483,0,0.0000287,0,0.000136457
family_Rikenellaceae,0.063948559,0.041391882,0.00334946,0.003505516,0.016696564,0.028008151,0.047578062,0.04481477,0.001540881,0.0000159,0.011877529,0.493067833,0.014057784,0.023090909,0
family_Ruminococcaceae,0.394431882,0.243579433,0.174171939,0.231467162,0.11604802,0.184635799,0.13438751,0.243815501,0.117641509,0.029403801,0.3312511,0.226854006,0.014460256,0.158121212,0.008232886
family_Streptococcaceae,0,0.000268082,0.00334946,0.0000516,0,0.000616085,0.00006,0.001523276,0.001855346,0.000175212,0.000439908,0.001395738,0.0000575,0.000121212,0.00286559
family_Sutterellaceae,0.012012436,0.013564956,0.000186081,0.001391896,0.017662481,0.004075636,0.019835869,0.0000609,0.001603774,0.018349501,0.009062115,0.000279148,0.020094868,0.00369697,0.128769616
family_Veillonellaceae,0.001483889,0,0,0.000103103,0,0.0000474,0.016753403,0.012338533,0.022044025,0.0000796,0,0,0.00028748,0.003212121,0.066681829
family_Verrucomicrobiaceae,0.0000707,0.010187121,0,0.004124137,0.004622602,0.009667788,0.080244195,0,0.007484277,0.001178701,0,0,0.000172488,0,0
family_unclassified_Bacteria,0.05843697,0.030561364,0.001302568,0.055572739,0.054160342,0.031467703,0.05642514,0.070801852,0,0,0.00879817,0.050060482,0,0.007939394,0.0000455
family_unclassified_Clostridiales,0.008196721,0.020964023,0,0.007732756,0.01034911,0.025733378,0.018654924,0.157171582,0.000125786,0.00058935,0.037040296,0.078161347,0.000517464,0.001515152,0
family_unclassified_Firmicutes,0.010952516,0.001072329,0.001860811,0.007732756,0.001793846,0.00255912,0.001281025,0.00325981,0,0.000445995,0.001935597,0.005769052,0.0000575,0.000484848,0
genus_Akkermansia,0.0000707,0.010187121,0,0.004124137,0.004622602,0.009667788,0.080244195,0,0.007484277,0.001178701,0,0,0.000172488,0,0
genus_Alistipes,0.063948559,0.041391882,0.00334946,0.003505516,0.016696564,0.028008151,0.047578062,0.04481477,0.001540881,0.0000159,0.011877529,0.493067833,0.014057784,0.023090909,0
genus_Anaerotruncus,0.000211984,0.001608493,0,0.0000516,0,0.000142173,0.000420336,0.0000914,0.000157233,0.0000637,0.000175963,0.001116591,0.0000575,0.0000606,0
genus_Anaerovorax,0.000282646,0.000160849,0,0,0.000413964,0.0000948,0.00020016,0.000182793,0,0.0000319,0,0,0.0000287,0,0
genus_Bacteroides,0.079564726,0.309045091,0.147934499,0.063666357,0.368152339,0.267001564,0.185408327,0.091091884,0.199025157,0.888469441,0.243357382,0.016097516,0.736265632,0.612424242,0.075415056
genus_Barnesiella,0.001342566,0.000214466,0,0.001340344,0.006416448,0.017250367,0.04613691,0.004387034,0,0,0.001495689,0.007443938,0,0,0
genus_Bilophila,0.000211984,0.000321699,0,0.0000516,0.000137988,0.0000948,0.000820657,0,0.000125786,0,0.000175963,0.000093,0.000172488,0.000424242,0
genus_Blautia,0.009327304,0.09441853,0.079828805,0.025002578,0.018214434,0.017819061,0.018915132,0.032598099,0.186981132,0.005941288,0.019795882,0.010328464,0.00232859,0.007515152,0.039754378
genus_Butyricicoccus,0.001201244,0.001394027,0.009117975,0.007165687,0.005450531,0.006492583,0.00326261,0.002132586,0.001792453,0.000159284,0.001143762,0.000558295,0,0.001090909,0.005094383
genus_Butyricimonas,0.006147541,0.000160849,0,0.000257759,0.001517869,0.001184778,0.001581265,0.000548379,0,0,0.001583671,0.000651345,0,0.000545455,0.000091
