SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
pHILIC_142.1225_1.3,47639.01,40813.9,708168,36790.5,38539.17,41493.34,46597.23,35002.4,172.91636,38219.3,553318.4,37978.3,381455.4,39464.16,36732.89
pHILIC_199.0825_1.5,832342.1,69630.47,279606.4,145226.7,31413.35,18239.11,134983.6,5397.811,19.19094468,159221.3,68525.6,109353.2,5998.163,36963.86,6417.916
pHILIC_154.1225_1.6,16847.27,20780.7,5715239,11083.91,8126.361,10325.54,11666.87,12778.41,16.71193961,10948.55,2447609,6525.48,849232.3,8212.207,6260.003
pHILIC_302.3046_1.8,206173,185636,239969.6,734145.3,445797.8,123323,194938.8,166678.7,40.95176632,155943.4,203779.9,163261.7,211206.4,223770.6,217090.4
pHILIC_790.5707_2,555.6325,46296130,431449.2,407364.3,40144.52,1990.994,7778340,183339700,142.7140274,555.6325,16034.84,213234.7,415164.7,4443.744,46454.64
pHILIC_257.1127_2,313099.4,229206.9,590851.1,410202.8,273946.7,226185.1,224063,285070.7,27.21448643,330437,416994.7,169695.3,120316,261647.8,132943
pHILIC_114.0661_2.5,79506000,72118000,89005160,77088710,79156300,73919530,88837900,84690830,45.70837215,100574100,100534700,59994340,47393570,93275580,72228900
pHILIC_776.5554_3,24163.57,13125450,10560480,8827678,2573896,788659.3,114482.3,923938.1,23.07361727,107.1552,4752043,256681.9,3152827,1548868,360457.2
pHILIC_137.0457_3.1,5562417,1732982,3216300,7075998,3018754,3093536,6569763,2093429,25.66389739,4524581,4551897,7584175,3277466,4433866,1642686
pHILIC_750.5399_3.1,54884.89,22760490,9036431,9017918,4478370,3328282,529999.4,3620101,40.91678924,788.9224,6002449,937909.6,2594866,3743349,380853.5
pHILIC_764.5206_3.4,170422.5,880124,949498.4,1850865,1213875,124095.9,265943.7,116695.4,36.58232512,124280.5,607873,295351.6,511683.2,728111,47515.78
pHILIC_768.5558_3.5,646372.9,4112380,1330687,4213703,2954272,713616,484039.2,575574,61.88477173,552246.9,764413.3,613517.7,631103.4,1760840,294721.7
pHILIC_740.5213_3.6,2637.511,361738.6,330910.3,1149524,735109.3,234606.8,135508.1,382323.7,30.70595485,98.81996,156187.3,180853.2,162198.2,782513.1,192155.4
pHILIC_738.5049_3.9,62939.28,103782.3,39057.26,87012.73,640237.7,67187.07,136853.1,47059.83,73.99105005,107515.3,108473.6,246257.2,376518.6,191431.6,459023.8
pHILIC_716.5208_3.9,198049.7,581649.5,422141.5,2143115,2234092,397824.8,983386.1,250934.1,31.22505013,859198.9,249886.8,577465.8,285435.3,1298627,1408181
pHILIC_223.1438_4.1,312524.2,405708.9,207381.8,233310.2,322605.2,318976.5,484403.8,368253.9,65.01656002,274953.1,226680.1,241600.2,418328.7,361539.3,335721.3
pHILIC_764.5217_4.2,768061.9,880280.8,1068808,2025270,4302410,802679.5,3660971,714412.6,53.56216628,1111204,1379159,2154063,2579180,1408140,1506382
pHILIC_722.5093_4.2,496769.6,53433.06,234228.4,88269.84,191982.7,105431.8,19856.28,132047.9,128.1070714,78785.25,680754.5,260410.4,1920972,141361.6,267018.6
pHILIC_752.5554_4.3,5080803,2597066,4428852,5848905,7449596,2077656,2296764,2003819,45.32308404,2841880,4561331,3740871,5790942,2860720,1787754
pHILIC_776.5553_4.3,2504760,582325.3,1904456,1914372,2161551,380112.9,799389,783333.4,18.31060697,866715.1,3773950,852983.8,2625165,849569.2,713162.4
pHILIC_750.5404_4.4,6536800,1549410,3930542,4623249,5362878,2427884,2045270,2709528,75.48511966,2570313,7071867,3952825,8490842,3394152,2372891
pHILIC_724.5254_4.4,2747219,1188211,2399403,3020248,3003426,1334685,1169052,1627515,21.77592413,1855379,2498505,3239855,4112274,2419434,1992860
pHILIC_738.5403_4.4,422160.3,71551.32,250469.2,279141.8,351872.8,56661.77,24407.71,84570.93,22.92313178,134294.8,640661.7,109565.3,1252290,108794.8,60967.83
pHILIC_740.522_4.4,443818.6,1087456,633533,1589365,2222593,798918.8,2265217,384726.9,42.39219215,837433.7,561528.6,1613887,1343875,1323202,1723832
