SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
phylum_Actinobacteria,0.406813349,0.272369655,0.822853728,0.203329161,0.175907381,0.080844597,0.654604375,0.908369348,0.371024205,0.76650095,0.800130285,0.012076991,0.85621045,0.75992945,0.847870556
phylum_Bacteroidetes,0.121706573,0.017581021,0.001062346,0.004105131,0.0000488,0,0.006832298,0.002721908,0.00180036,0.003920618,0.002961033,0.001761228,0.009177351,0.003527494,0.005461686
phylum_Cyanobacteria.Chloroplast,0,0.207794959,0.00039838,0.001902378,0.000146549,0.00253287,0.006022144,0.004965924,0.009376875,0.002142193,0.003553239,0.004843377,0.000662625,0.000312563,0.0000205
phylum_Firmicutes,0.232042156,0.317396435,0.172365713,0.763329161,0.615944507,0.904349628,0.314717796,0.07141373,0.609096819,0.224445253,0.174464053,0.933450749,0.112082961,0.227835949,0.110113325
phylum_Fusobacteria,0.036239253,0.005537568,0.000132793,0.001301627,0,0,0.007480421,0,0.00020004,0,0.003375577,0.000188703,0.0000331,0.0006028,0
phylum_Proteobacteria,0.193121938,0.145550277,0.002655866,0.021276596,0.207903864,0.01153607,0.007966514,0.010472074,0.00715143,0.002910149,0.014331399,0.047112844,0.021700957,0.007657788,0.036533977
phylum_unclassified_Bacteria,0.00064713,0.028837716,0.000331983,0.002928661,0,0,0.000702133,0.001516789,0.00040008,0.0000404,0.000118441,0.000314505,0.0000663,0.000133955,0
class_Actinobacteria,0.406813349,0.272369655,0.822853728,0.203329161,0.175907381,0.080844597,0.654604375,0.908369348,0.371024205,0.76650095,0.800130285,0.012076991,0.85621045,0.75992945,0.847870556
class_Alphaproteobacteria,0.000462235,0.06747965,0.000265587,0.007434293,0.0000977,0.001013148,0.001080205,0.003927028,0.002025405,0,0.002368826,0.02849415,0.000563231,0.000334889,0.00135008
class_Bacilli,0.190024961,0.302720368,0.163003785,0.724806008,0.531141615,0.886780723,0.309478801,0.068961935,0.607146429,0.196071299,0.123238185,0.933136244,0.069178014,0.136455984,0.043182097
