SampleID,ZOQM06Q,ZIS22OE,ZOBX723,ZO94RDZ,ZO5QFNX,ZO3XSJN,ZNQOVZV,ZNDMXI3,ZN9YTFN,ZN3TBJM,ZN0JE53,ZMGT937,ZMBVNFM,ZM8YXDM,ZLZNCLZ
A1BG,3.5906012,4.939937,3.920921,3.9011268,0,0,4.35564,5.101095,3.908787,4.070822,3.231347,2.8776557,3.989632,4.4615964,3.3298989
A1BG-AS1,2.5631031,2.104154,3.013158,1.7326449,0,0,1.257565,2.078878,0.9078391,2.056933,2.200483,0.9313642,2.797879,1.3550178,2.3954374
A1CF,0.6903919,2.572692,4.872493,2.8471232,0,4.798362,0,2.078878,1.8594526,1.038204,1.764497,2.2104866,2.797879,2.2913108,2.6614549
A2M,7.1450895,11.454062,7.602415,8.901061,9.685913,10.086738,9.056179,10.87154,11.1752396,8.38353,10.062195,8.8108824,8.742181,11.3694389,10.7689815
A2M-AS1,0,0,4.129642,0.8273761,0,3.8493,0,0,0.9078391,0,1.136701,0,0,0,0.6160478
A2ML1,0,1.405844,5.184537,2.9945971,0,5.772203,0,1.655286,0.9078391,1.63568,2.200483,1.8957816,1.991712,2.2913108,2.0690231
A2MP1,3.3513213,8.003984,3.920921,5.0335401,0,5.365938,4.777548,7.232805,7.3418693,4.53151,6.038567,5.2889968,5.076728,7.3490138,7.1350395
AAED1,1.7886387,0,3.013158,2.0348568,0,0,1.257565,3.554501,1.4607249,1.63568,0,0.9313642,0,3.2583704,0.6160478
AAGAB,0.6903919,3.827598,2.514887,1.7326449,0,4.798362,1.919087,2.405915,3.9905886,2.056933,3.231347,3.0455526,2.797879,4.4096648,2.0690231
AAK1,2.4049175,0,6.424243,3.6572772,0,5.365938,1.257565,2.405915,2.1715055,0,3.40466,0.9313642,1.991712,1.7385534,3.839634
AAMDC,1.7886387,4.775875,1.747501,3.1283843,0,3.8493,3.898129,4.185776,3.908787,0,4.642444,3.776009,4.544,4.6070367,3.839634
AAMP,3.0643073,3.44604,4.47378,3.5658861,0,0,1.919087,1.655286,2.4279188,1.038204,2.200483,0,1.315301,2.5043682,2.7780778
AANAT,2.0245357,3.986188,4.129642,3.3636563,0,5.772203,1.257565,4.623424,4.3417815,2.382578,3.943483,3.3321041,3.311976,5.1406175,3.7280758
AARS,1.5064829,0,3.676812,2.2845957,0,5.365938,0,1.053062,0.9078391,0,1.136701,0.9313642,1.315301,1.3550178,2.6614549
AASDH,1.1553889,1.405844,4.129642,0.8273761,0,0,1.257565,0,0.9078391,1.038204,0,0.9313642,1.991712,0,0.6160478
AATF,0.6903919,2.572692,4.751432,2.0348568,0,3.8493,1.257565,1.053062,0.9078391,0,1.136701,0,1.315301,0,2.7780778
AATK,1.1553889,2.104154,5.184537,2.6828397,6.529933,0,0,2.078878,0.9078391,0,2.200483,0,0,2.2913108,1.0463803
ABAT,0.6903919,0,4.751432,1.7326449,0,4.798362,0,1.053062,0,0,1.764497,0,1.315301,1.7385534,2.0690231
ABCA1,0,4.129059,5.275165,2.2845957,0,3.8493,2.714503,2.897157,2.6455631,0,3.034333,1.4927027,3.077707,2.2913108,2.0690231
ABCA12,0,4.378285,5.847655,4.1096579,0,3.8493,2.714503,1.053062,1.8594526,0,1.136701,0.9313642,2.450387,1.7385534,1.3774082
