SampleID,ZOQM06Q,ZIS22OE,ZOBX723,ZO94RDZ,ZO5QFNX,ZO3XSJN,ZNQOVZV,ZNDMXI3,ZN9YTFN,ZN3TBJM,ZN0JE53,ZMGT937,ZMBVNFM,ZM8YXDM,ZLZNCLZ
IL17F,272.2818459,125.9654416,265.8146943,145.3991287,151.2766553,75.08803484,167.4848683,272.9836033,89.37842334,298.4118359,258.217064,193.1774276,189.2944642,225.853182,119.6784482
FASL,39.04618945,49.59921362,24.89611779,21.10681322,21.64879808,69.38613395,23.81367789,51.18216725,16.89052357,19.99513707,24.45449863,24.45449863,17.60723901,42.63081864,23.72734664
TGFA,26.64641416,22.63120106,27.37345703,17.86909396,27.37345703,14.23575551,23.80300611,28.83653039,14.44040859,28.517522,23.6269363,18.21243006,16.73574655,22.2485801,18.07936832
MIP1A,93.89428148,64.50128901,326.5825029,41.45589609,101.5521564,33.47535253,68.08610484,134.7178821,35.92153679,38.82700408,121.2397734,40.24556793,103.6323374,62.30524389,38.3848007
SDF1A,264.0006819,277.227169,547.8030969,176.6074685,247.2722312,180.1447539,228.2512904,305.2673216,162.0203686,188.2025398,298.1213009,224.6790096,269.8324183,280.0578139,195.6388879
IL27,74.29639981,68.54727363,39.76227606,39.01099197,33.73768878,34.05251658,34.94260624,61.47142603,24.25450573,33.12348818,33.96366276,38.81561459,25.23014948,51.02592368,30.67570528
LIF,50.45388635,38.27536206,68.21215713,35.80066411,42.16751532,34.79578369,48.36862051,42.18988772,32.04802988,46.32338148,41.88818787,37.5045403,41.88818787,40.91153165,42.85898351
IL1B,25.1203676,24.22321161,31.76931758,22.03611125,24.70946923,17.04596373,24.70946923,21.53174366,19.24906321,22.97423413,31.36982719,18.62583489,22.54706329,22.91231727,22.91027659
IL2,32.29395637,30.33674689,43.3879658,32.48013957,35.60038219,30.33674689,28.92531053,33.27256111,27.91006303,25.7492536,38.26882626,26.53305288,34.69706915,31.56450954,29.88598551
IL4,77.14559297,79.8683786,71.02179407,40.1300299,46.57166824,40.53925278,44.24308483,59.90128395,33.05500819,42.25911056,50.1190177,55.13091947,43.6035454,79.37917011,44.23464795
IL5,72.48986507,55.31018607,75.58706,45.0396237,57.76572065,48.18690453,43.01702602,48.60592109,35.593387,52.52948193,68.42545167,43.16066951,61.05655687,65.46269149,65.3305986
IP10,151.5854993,107.3225335,119.2765121,96.01629177,100.8428693,57.60248972,195.179747,124.9064514,67.50043398,41.34534515,123.5132717,127.7001622,98.39192827,163.3381193,75.53542489
IL6,45.5410848,51.31868511,38.28687217,37.66062123,34.03277526,40.10334333,40.94568274,42.82221407,29.90959841,34.16836844,42.48149789,39.51767246,31.61413797,66.80728676,39.37988622
IL7,97.49283713,46.53067227,150.9359559,34.57756402,152.2835983,39.88343337,47.16748621,82.86891156,85.58121116,37.22256954,190.688669,73.88506835,141.250866,68.45173054,118.5444613
IL8,61.00591351,99.56817992,35.01289964,37.98744615,39.53069314,52.64055414,50.26045271,61.61801298,25.85131054,37.16566732,47.03307136,52.67703993,31.0418271,83.46970601,41.03685776
IL10,105.005928,97.05093347,86.94621785,80.90009748,80.21094746,81.14094438,72.25108244,108.8243254,66.0949515,80.02353888,96.51097806,75.06409404,81.88810259,126.5936715,73.8167184
IFNB,55.16130351,59.54913447,108.7191781,45.05290541,65.01833202,32.59531571,120.4437954,68.63821289,37.85668373,107.5884226,152.5489566,58.11388822,44.49344567,240.8333836,52.25522256
EOTAXIN,79.09500547,127.768855,374.8654131,186.7361938,95.20391444,31.94221375,66.04771564,48.67384952,105.0714158,179.8781005,41.65352422,142.2315461,94.48238421,116.9641752,242.501476
IL12P70,58.4418449,63.97480063,61.95691003,49.88750486,50.80466622,31.12287598,44.60897522,44.60945558,46.36147484,52.61727465,54.64066451,36.5897307,37.56545685,60.07040911,45.54978862
IL13,69.27415412,54.87952469,30.90174222,32.28846281,25.28324363,26.54009801,30.90174222,43.63372045,19.37307769,24.73107965,28.459119,32.38451473,20.60832755,46.82436803,24.32688328
IL17A,113.5874284,66.94888165,78.53719186,73.86553331,74.91239839,33.09832351,70.07934043,74.4712279,80.63658632,61.27527423,121.7854656,48.11277654,50.61865032,106.0135393,59.03084496
IL31,14.63061053,15.29563829,14.28282601,13.50447085,13.33063761,15.96066604,15.23501441,16.62569379,12.70724543,11.93637864,19.2443503,14.43326272,15.39548024,25.00514195,21.31682751
IL1RA,32.62432959,29.95020421,31.54702005,24.86001092,26.87338745,19.25370271,22.19975485,21.39300301,20.67431934,25.99058269,29.77707357,25.80679709,25.80679709,33.8686931,24.52375367
SCF,73.48544989,91.36028905,117.4611549,58.73062773,73.84933998,49.32131547,63.38250439,48.99029993,73.51415863,63.22560265,63.32615607,54.50201957,53.98295271,99.48318017,66.05150672
RANTES,1108.145012,942.4603925,787.7518376,710.8066012,1858.875517,1586.605834,1386.224414,806.5246322,841.8552843,1063.644665,1031.071975,2226.077771,1140.361189,1700.484801,973.3532306
IFNG,79.89716711,84.85203018,47.18053098,59.38685607,52.4228122,33.44532577,59.41252049,73.70358826,44.81065984,57.39117637,60.37318921,74.26860578,44.56116347,92.7999219,50.19788138
GMCSF,41.35070393,29.16701438,37.99225205,21.4199322,47.7967042,19.56774383,53.92448678,39.13548765,38.50091587,111.5175025,46.89321869,28.6048634,13.13010123,26.23705362,20.22516115
TNFA,210.9876478,213.6516333,255.3865441,211.1405381,230.597331,170.4950689,218.4909711,182.749402,213.6452859,236.7282015,246.410243,219.2507974,220.2384136,300.019387,213.7362363
HGF,70.33284885,72.98691862,116.0252594,64.06154184,83.67206208,37.15697675,89.25019955,56.62015505,73.30845836,116.1957535,33.29828173,78.3488982,78.83857881,109.3040002,80.91619798
MIP1B,423.7478292,496.1346945,565.7952326,252.9942253,285.6282883,196.8272067,416.1544085,422.9344937,279.5476407,408.6580768,405.167489,370.5085834,445.684238,449.3334043,276.3134525
IFNA,164.3674758,85.11887141,119.4570619,88.72691667,125.091829,91.35603009,93.53713337,143.8215413,100.8367507,113.4080809,130.2822737,125.9754217,115.2082917,173.9955018,95.3288791
TGFB,89.20115514,62.06913712,76.61319242,58.93284001,58.04029729,46.83060645,58.04029729,69.13089524,56.98250501,58.38119442,68.42776251,53.55216196,58.51069548,56.92382807,53.16486124
MCP1,522.3329007,1305.832252,950.2874045,829.2785116,522.1498974,186.0670848,694.2942066,285.8259435,850.1139739,746.0425357,369.7446339,368.6376141,507.5686068,456.6366047,764.7705574
IL9,45.55890842,60.64463969,28.48560718,23.11353781,22.78848574,19.61145065,18.23078859,36.20575504,18.95392085,21.30236801,34.59818513,30.40446572,21.49281197,44.20813429,26.07579173
VEGFD,73.2028324,135.4062755,52.19172019,101.0355981,129.774007,48.16973945,65.592297,62.96202165,101.7742494,30.15849689,86.76111173,34.5946205,48.32264451,51.4639822,49.29998358
TNFB,80.96603794,105.3596519,51.38936154,46.97319591,56.06112168,60.46502192,43.2137813,70.0667636,35.78049747,47.23058522,57.4822742,57.4822742,45.38074279,68.30599991,58.24823496
NGF,69.94771617,61.29439046,48.36053389,40.95613671,48.36053389,31.72886094,44.12898717,51.91995427,37.02642461,39.75715987,52.51756006,50.97292594,38.10097494,86.89398099,42.63461588
EGF,133.0619606,565.2757218,1354.576085,183.5289154,177.3485619,99.79647043,113.7476983,63.20443127,171.0289658,42.63940639,238.4358244,113.5408687,311.1019804,735.3885539,156.4771478
BDNF,2748.892052,2200.633566,3254.844315,2488.176216,2969.733272,1079.689236,2788.677354,1982.958662,2416.445925,2462.49912,4356.302688,2884.216339,5460.761899,5308.385994,3097.822301
TRAIL,161.9667076,141.7208691,312.8320456,82.24159919,117.1141891,64.41857688,125.5548514,238.6554896,83.41773897,95.45392942,216.4099609,90.93282394,224.5380345,162.979569,85.54593014
GCSF,80.52855317,127.5906946,47.74667312,43.81599767,46.06149642,28.58589333,47.18494755,89.59237301,41.92494248,43.35774332,45.95148697,40.2075511,42.60085771,59.73293257,48.23621489
GROA,41.41308953,58.43847078,29.26608051,25.20425658,22.20185418,34.97105338,24.72479215,43.71381672,19.19571569,20.92602259,61.70626695,26.03233137,22.17568969,82.93761274,30.44869994
IL1A,241.6833078,268.6645796,277.4742384,119.9664012,181.2533331,130.3138025,209.7839504,252.0165608,133.0609779,129.763033,216.2794975,183.4467063,241.8161128,260.9918746,128.9601588
IL23,67.31669932,54.20305659,39.91031191,55.2538611,53.21374922,76.35054208,53.21374922,53.62022803,43.48093617,46.51086857,49.2236661,50.24915914,42.04521479,62.3274122,62.50961443
