SampleID,ZOQM06Q,ZIS22OE,ZOBX723,ZO94RDZ,ZO5QFNX,ZO3XSJN,ZNQOVZV,ZNDMXI3,ZN9YTFN,ZN3TBJM,ZN0JE53,ZMGT937,ZMBVNFM,ZM8YXDM,ZLZNCLZ
phylum_Actinobacteria,0.000293335,0.021031894,0.022405794,0.011875909,151.2766553,75.08803484,0.002910575,0.001512659,0.023450824,0.001277528,0.01261454,0.04724537,0.001736229,0.02604569,0.003120125
phylum_Bacteroidetes,0.714991651,0.652947127,0.22841462,0.623848764,21.64879808,69.38613395,0.683684052,0.601480813,0.255514497,0.680192237,0.474928906,0.492175926,0.302802769,0.652521797,0.161808578
phylum_Firmicutes,0.143508281,0.269953677,0.582097997,0.311051866,27.37345703,14.23575551,0.217724399,0.252295526,0.52174531,0.305329115,0.188488929,0.413356481,0.444271573,0.321266968,0.635629636
phylum_Proteobacteria,0.004851302,0.041158618,0.007977821,0.023897237,101.5521564,33.47535253,0.081261918,0.144578313,0.01057419,0.006691812,0.321561383,0.000648148,0.119055672,0.000110363,0.01187837
phylum_Verrucomicrobia,0.13624261,0.001757095,0.009109426,0.004459525,247.2722312,180.1447539,0,0,0.149516771,0.000547512,0.000850691,0.000300926,0.09763467,0,0.0000821
phylum_unclassified_Bacteria,0,0.012725627,0.149485119,0.024866699,33.73768878,34.05251658,0.014385601,0.000132689,0.039113132,0.005961796,0.000388888,0.04587963,0.03316873,0,0.187289597
class_Actinobacteria,0.000293335,0.021031894,0.022405794,0.011875909,42.16751532,34.79578369,0.002910575,0.001512659,0.023450824,0.001277528,0.01261454,0.04724537,0.001736229,0.02604569,0.003120125
class_Bacilli,0.002662575,0.000372717,0.000282901,0.0000969,24.70946923,17.04596373,0.001773109,0.003847991,0.005571347,0.0000608,0.014024257,0.002361111,0.00872624,0.001103631,0.000656868
class_Bacteroidia,0.714991651,0.652947127,0.22835804,0.623848764,35.60038219,30.33674689,0.683684052,0.601480813,0.255514497,0.679644726,0.474928906,0.492175926,0.302802769,0.652411434,0.161808578
class_Betaproteobacteria,0,0.027208349,0.007581759,0.02064954,46.57166824,40.53925278,0.00013382,0.141606072,0.006736782,0.002007543,0.252193569,0.0000926,0.020834743,0,0.007718203
class_Clostridia,0.130330791,0.254565785,0.50780808,0.304507998,57.76572065,48.18690453,0.205446455,0.208003821,0.4793917,0.292553839,0.122815546,0.36875,0.424744639,0.309458117,0.58844459
class_Deltaproteobacteria,0.001015389,0.003727171,0.000339482,0.001163354,100.8428693,57.60248972,0,0.000291917,0.0000284,0,0.015993,0,0.004239103,0,0.002107453
