SampleID,ZOQM06Q,ZIS22OE,ZOBX723,ZO94RDZ,ZO5QFNX,ZO3XSJN,ZNQOVZV,ZNDMXI3,ZN9YTFN,ZN3TBJM,ZN0JE53,ZMGT937,ZMBVNFM,ZM8YXDM,ZLZNCLZ
pHILIC_142.1225_1.3,358823.2,45533.38,977691.6,677133.3,697335.6,42204.02,361807.1,64680.54,137231.1,181618.3,21366.26,398827,36723.57,59510.8,128588.4
pHILIC_199.0825_1.5,47831.44,78290.92,666463.8,116076.4,42038.19,120697.3,76080.62,29420.87,325663.7,626843,370832.5,40207.86,482113.2,81340.88,69970.44
pHILIC_154.1225_1.6,1804158,18090.96,3905478,5263350,5390255,11587.95,3970497,7007.567,1477672,1921334,18562.41,3571421,10495.56,6814.053,1298436
pHILIC_302.3046_1.8,234962,193691.9,320376.6,261659.7,318346.8,252920.8,199550.6,198832.1,746486.8,332781.2,217996,228728.4,334534.6,229649,169876.8
pHILIC_790.5707_2,12402.32,224070,244912.6,284457.7,345.5432,5778365,68477.68,131699.3,51142.79,278405.9,112232.2,25004.16,217164.8,166423.2,68989.09
pHILIC_257.1127_2,277626.6,323103.2,424896.7,392449.7,295052.4,263116.6,368126.1,234170.2,306376.9,395468.9,342616,252250.9,440280.9,285112.8,256089.6
pHILIC_114.0661_2.5,94817780,73008330,117964500,107478000,83037370,105108900,73134120,80499350,88645260,84906410,83848910,82473250,107654700,110693300,73939560
pHILIC_776.5554_3,3237084,1032076,1099954,4936329,2329196,2408990,945840,331525.2,1832946,14265190,2965630,46013.31,5147661,101326,374445.6
pHILIC_137.0457_3.1,4016164,2513140,3598052,3140053,3149435,1532968,5302085,4057425,4055018,3009014,5061462,9027636,6996627,7791812,3291595
pHILIC_750.5399_3.1,3921528,4928552,2516814,6255967,3765261,5068820,2930427,1346238,5156886,11725160,8973342,515441,6462500,1185113,1004096
pHILIC_764.5206_3.4,1902849,131831.2,333215.9,421990.5,903821,780451.4,129550.4,105812.7,1824951,999349.8,415719.6,67084.62,518525.2,123845.9,214201.6
pHILIC_768.5558_3.5,1647457,735730.5,661510.8,485987.8,1969386,1584922,633640.3,187341,2731546,1087637,309306.7,274762.4,639721.8,240630.6,1161300
pHILIC_740.5213_3.6,1486628,527303,57484.51,113329.4,666179.5,527502.7,130476.4,123373.1,902703.9,324563.1,438115.3,123879.4,179275.2,31263.75,257532.5
pHILIC_738.5049_3.9,982.8032,92603.52,51470.98,172644.9,648164.3,148589.9,44708.64,198221.6,846401.1,79479.24,130725.2,37851.86,205039.7,148564.6,26578.76
pHILIC_716.5208_3.9,2304681,599344.3,391069.3,279465.6,2306319,699375.2,950290.2,323345.6,5246761,858269.2,819184.5,1446518,1026979,263531.8,898507.1
pHILIC_223.1438_4.1,149773.1,361211.9,350874.1,214926.3,308878.6,512312.2,176031.8,576725.7,89309.73,116368.6,335496.1,277326,317174.3,636578.4,112153.1
pHILIC_764.5217_4.2,1962163,740819,1094528,1027914,3358579,2033698,1242637,821503.8,8089912,1685031,1019524,1691075,1544057,1788992,883654
pHILIC_722.5093_4.2,181.4121,89597.24,123393.8,539703.3,117207.7,333479.2,65764.85,531381.9,363242,169997.5,156574.4,26538.24,581534,372050.4,30309.55
pHILIC_752.5554_4.3,3752904,2587754,3244793,3302445,4509426,5903355,4117177,2704454,6894379,9556343,8492021,2440966,2898336,3439939,2446111
pHILIC_776.5553_4.3,1462289,735320.4,1573541,2243471,1354194,1615709,1128107,969783.5,3690510,2598078,1624542,697599.7,1943252,859135.3,744578.3
pHILIC_750.5404_4.4,2119528,2436751,3158791,4740717,4446600,6399725,3222892,3598809,8282867,7587170,6302824,2390483,4863668,5047948,2367047
pHILIC_724.5254_4.4,1160381,1705346,1814937,1696890,2949355,4311969,3147022,2865352,4659561,6947825,6677648,1810720,1977279,2756318,1883810
pHILIC_738.5403_4.4,38282.62,148195.2,128406.4,448979.5,161656.5,216712.2,205486.3,138668.2,217962.3,590177.3,403781,61036.48,95105.46,151276.6,60327.75
pHILIC_740.522_4.4,1322880,701248.8,606870.4,467080.6,2130142,1300149,1066979,955427.3,4610741,1612114,1344424,1498388,740448.5,746906.2,841710
pHILIC_768.5548_4.4,4471519,1543402,1917403,1333521,4880407,2731261,2630835,946137.6,12571870,3885543,1948281,3734531,1303396,1629278,2085375
pHILIC_728.5563_4.5,486330.7,541996.6,417253.3,647068.1,814660.2,781031,632633.7,895880.9,2371401,1376922,953879.5,646680.4,586808,340510.3,412858.6
pHILIC_792.5536_4.5,1383268,276466.4,728415.1,641109.9,1430495,965030.3,689488.5,435234.7,5058545,823784.3,332063.9,744467.2,831526.9,876898.3,516804.4
pHILIC_298.1139_4.7,79400.12,65919.67,63367.12,69254.88,68321.08,60544.57,71091.31,59619.57,19892.5,52140.31,42552.78,77128.82,56149.99,83378.89,57109.04
pHILIC_834.5972_4.7,3321844,33.8761,10095430,4541343,3948309,1201081,1267366,2355116,7372393,17401200,2444482,4139257,862719.3,4844182,2800487
pHILIC_764.557_4.7,8209.309,6919.353,117916.3,159446.6,43580.93,28252.83,1064.155,68200.91,10342.87,433370.6,31945.46,17229.36,2306.5,68045.94,17865.96
pHILIC_806.567_4.8,12458050,35286.85,26642590,15039170,14072410,3971264,3641838,9710803,22652610,42569720,9995352,9097108,3967716,11753180,8403702
pHILIC_810.597_4.8,14637770,13652.53,31077200,10095720,17305810,4050926,6334541,7084596,32787790,93901330,18316110,19941200,2721899,17929020,15542060
pHILIC_585.2694_4.9,331119.5,2437555,742771.3,546984.3,260656.6,2834509,952124.8,5847507,106997.4,148971.7,355135,277872.2,1366682,7254193,176454
pHILIC_219.0795_5,1116929,1587420,995334.9,1176353,607948.8,1668757,951764.9,1093927,559106.7,985188.9,1308036,1596266,1089916,2230365,1294749
pHILIC_816.5884_5,67767.42,290121.2,144505.8,130565.3,102312,295306.9,94158.67,5004.029,91698.63,312206.1,98788.43,44526.36,81985.16,162830.9,68226.44
pHILIC_850.6644_5,373681,497419.7,376635.3,309736.5,237037.3,451833.3,332548.6,7219.575,656628.3,706129.8,249219.7,208860.1,195221.8,445629.9,253858.2
pHILIC_764.5577_5,20162.98,162611.5,76803.39,247113.5,66244.61,314904.5,36577.6,865.1484,208426.6,210631.5,110914.1,39661.82,260767.1,222994,26200.41
pHILIC_834.5975_5,4986097,7736273,4620450,5019134,4027079,6457401,5310974,8575.931,18026950,7208617,3441394,4895949,8695747,10661350,3272582
pHILIC_892.6501_5,128928.6,236392.2,139284.1,122990.4,123986.4,189043.1,128945.5,382.5857,379170.4,118268.3,74662.14,117057.1,255602.5,299820.7,77832.96
pHILIC_810.5973_5,24936040,39277290,18800230,15068660,20448710,33136980,26706600,265124.3,68017110,52729400,29644030,28640760,13673490,51371170,21909690
pHILIC_806.5663_5,18247050,23358360,13747920,18978030,15999870,21535870,13452450,465652.3,45664910,22424600,14889480,11918340,23762590,31210530,10697680
pHILIC_782.5665_5.1,56409120,61252660,27196180,27131240,43466100,52135860,38215110,998877.9,100400400,78185760,61697690,41470040,27231850,75577790,37362770
