SampleID,ZOQM06Q,ZIS22OE,ZOBX723,ZO94RDZ,ZO5QFNX,ZO3XSJN,ZNQOVZV,ZNDMXI3,ZN9YTFN,ZN3TBJM,ZN0JE53,ZMGT937,ZMBVNFM,ZM8YXDM,ZLZNCLZ
phylum_Actinobacteria,0.577707162,0.879713322,0.91945694,0.819872363,0.696427585,0.378410795,0.350290442,0.303275994,0.425230484,0.433688165,0.705447769,0.826458677,0.628961443,0.777342128,0.436787846
phylum_Bacteroidetes,0.000928868,0.000664975,0.001831749,0.001587835,0.009717851,0.001332667,0.008273191,0.002163909,0.018367565,0.004758923,0.010283204,0.013218089,0.0000798,0.005904331,0.010007837
phylum_Cyanobacteria.Chloroplast,0.0000978,0.000369431,0.001158312,0.000458029,0.001490807,0.007196402,0.006864989,0.0000274,0.000747517,0.008182008,0.0000333,0.004837258,0.00083819,0.0000231,0.00066317
phylum_Firmicutes,0.420092887,0.116001281,0.07081863,0.133378118,0.220584175,0.597334666,0.430734026,0.616193711,0.221727833,0.239281987,0.276315352,0.06339058,0.368324419,0.159024863,0.479471876
phylum_Fusobacteria,0,0.000147772,0.001400749,0,0.006184087,0.00129935,0,0.000191739,0.004164739,0.003840534,0,0.001612419,0,0.001429955,0.000844034
phylum_Proteobacteria,0.001124419,0.003103219,0.003016998,0.044489908,0.063552537,0.013793103,0.202605175,0.069053358,0.328765173,0.306783552,0.007920397,0.084258287,0.00147681,0.053761705,0.068849099
phylum_unclassified_Bacteria,0.0000489,0,0.001643186,0.000213747,0.0000552,0.0001999,0.000469401,0.003040429,0.000533941,0.000918389,0,0.000899955,0.00031931,0.0000231,0.000844034
class_Actinobacteria,0.577707162,0.879713322,0.91945694,0.819872363,0.696427585,0.378410795,0.350290442,0.303275994,0.425230484,0.433688165,0.705447769,0.826458677,0.628961443,0.777342128,0.436787846
class_Alphaproteobacteria,0.0000489,0.000664975,0,0.001160341,0.000441721,0.00129935,0.001701578,0.063629889,0.003310433,0.005051138,0.000133116,0.013893055,0.000518879,0.000345957,0.003677579
class_Bacilli,0.341579076,0.112873433,0.054252081,0.07542215,0.154050025,0.507846077,0.396409083,0.61159198,0.195315559,0.160676268,0.14356551,0.044247788,0.352598387,0.133008903,0.375957075
class_Bacteroidia,0.000928868,0.000369431,0.0000269,0.001587835,0.003092044,0.001266034,0.008273191,0.000520434,0.012351831,0.002796911,0.010216646,0.009299535,0.0000399,0.003505697,0.009646108
class_Betaproteobacteria,0.000488878,0.002216585,0.00288231,0.042047085,0.059687483,0.002265534,0.011969724,0.000575216,0.312213007,0.298184095,0.002695597,0.0239988,0.000159655,0.052769962,0.00331585
class_Chloroplast,0.0000978,0.000369431,0.001158312,0.000458029,0.001490807,0.007196402,0.006864989,0.0000274,0.000747517,0.008182008,0.0000333,0.004837258,0.000758362,0.0000231,0.00066317
class_Clostridia,0.075336104,0.003053962,0.013818926,0.056948304,0.048478825,0.088189239,0.033972892,0.00435521,0.017264087,0.075808808,0.132550168,0.0179991,0.015726032,0.022072051,0.100078375
class_Flavobacteria,0,0.00019703,0.001023624,0,0.006625808,0.0000666,0,0.001643475,0.005446197,0.001962012,0,0.003918554,0,0.002306379,0.000361729
class_Fusobacteria,0,0.000147772,0.001400749,0,0.006184087,0.00129935,0,0.000191739,0.004164739,0.003840534,0,0.001612419,0,0.001429955,0.000844034
class_Gammaproteobacteria,0,0.000221658,0.000134687,0.0000916,0.002760753,0.010194903,0.187819046,0.004766079,0.0126366,0.002922146,0.0000666,0.043497825,0.000798276,0.000553531,0.060770483
class_Negativicutes,0.003177707,0.0000739,0.002747623,0.001007664,0.017944895,0.0007996,0.00011735,0.000246521,0.006905635,0.002796911,0.000166395,0.001143693,0,0.003851654,0.001808645
class_unclassified_Bacteria,0.0000489,0,0.001643186,0.000213747,0.0000552,0.0001999,0.000469401,0.003040429,0.000533941,0.000918389,0,0.000899955,0.00031931,0.0000231,0.000844034
order_Actinomycetales,0.577707162,0.879688693,0.91945694,0.819872363,0.695378499,0.378210895,0.350290442,0.303275994,0.42473214,0.432936756,0.705447769,0.825089996,0.628921529,0.777319065,0.43666727
order_Bacillales,0.337961379,0.005122774,0.040621717,0.070780787,0.035945006,0.477328003,0.395176905,0.610304591,0.176093689,0.11521603,0.14356551,0.04019799,0.066616109,0.08667374,0.322662326
order_Bacteroidales,0.000928868,0.000369431,0.0000269,0.001587835,0.003092044,0.001266034,0.008273191,0.000520434,0.012351831,0.002796911,0.010216646,0.009299535,0.0000399,0.003505697,0.009646108
order_Burkholderiales,0.000195551,0.000492574,0.001319936,0,0.012036884,0.0003998,0.000997477,0.00043826,0.005980137,0.00025047,0.000299511,0.021130193,0.0000798,0.002052678,0.002592392
order_Clostridiales,0.075336104,0.003053962,0.013818926,0.056948304,0.048478825,0.088189239,0.033972892,0.00435521,0.017264087,0.075808808,0.132550168,0.0179991,0.015726032,0.022072051,0.100078375
order_Enterobacteriales,0,0.0000493,0,0,0.0000552,0.001832417,0,0,0.001281458,0.000709664,0,0.017942853,0,0,0.000844034
order_Flavobacteriales,0,0.00019703,0.001023624,0,0.006625808,0.0000666,0,0.001643475,0.005446197,0.001962012,0,0.003918554,0,0.002306379,0.000361729
order_Fusobacteriales,0,0.000147772,0.001400749,0,0.006184087,0.00129935,0,0.000191739,0.004164739,0.003840534,0,0.001612419,0,0.001429955,0.000844034
order_Lactobacillales,0.003617697,0.107750659,0.013630364,0.004641363,0.118105019,0.030518074,0.001232177,0.001287389,0.01922187,0.045460238,0,0.004049798,0.285982278,0.046335163,0.053294749
order_Neisseriales,0.000293327,0.001724011,0.001562374,0.042047085,0.047650599,0.001865734,0.010972247,0.000109565,0.306232869,0.297933626,0.002396086,0.000918704,0.0000798,0.050717284,0.000723458
order_Pasteurellales,0,0,0.000134687,0.0000611,0.001987742,0.0005997,0,0.0000548,0.004200335,0.000125235,0,0.000243738,0,0.000461276,0
order_Pseudomonadales,0,0.000147772,0,0.0000305,0,0.007762785,0.187819046,0.003341733,0.004663083,0.000834899,0.0000333,0.02139268,0.000119741,0,0.059805872
order_Rhizobiales,0,0,0,0,0.000276075,0,0,0.004053906,0.002278148,0.00329785,0,0.005718464,0.00031931,0.0000692,0.00198951
order_Selenomonadales,0.003177707,0.0000739,0.002747623,0.001007664,0.017944895,0.0007996,0.00011735,0.000246521,0.006905635,0.002796911,0.000166395,0.001143693,0,0.003851654,0.001808645
order_unclassified_Bacteria,0.0000489,0,0.001643186,0.000213747,0.0000552,0.0001999,0.000469401,0.003040429,0.000533941,0.000918389,0,0.000899955,0.00031931,0.0000231,0.000844034
order_unclassified_Chloroplast,0.0000978,0.000369431,0.001158312,0.000458029,0.001490807,0.007196402,0.006864989,0.0000274,0.000747517,0.008182008,0.0000333,0.004837258,0.000758362,0.0000231,0.00066317
family_Actinomycetaceae,0.0000489,0.0000739,0.001508499,0.000274818,0.012699464,0.002865234,0,0.000191739,0.001744207,0.000876644,0,0,0,0.002283316,0.000180865
family_Bacillaceae.1,0,0,0.00673437,0,0.0000552,0.000233217,0,0.0000274,0.000320365,0.001920267,0.0000333,0.000262487,0,0.0000231,0
